,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.87,0.92,0.93,0.9,0.88,0.88,0.91,0.93,0.86,0.89,0.91,0.89,0.91,0.9,0.91,0.9,0.88,0.89,0.91,0.91
DataType.NOVEL,0.41,0.42,0.39,0.56,0.44,0.36,0.65,0.67,0.73,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataType.OUTLIER,0.77,1.0,0.82,0.89,0.93,1.0,0.62,0.73,0.46,0.56,1.0,1.0,1.0,0.89,0.83,0.89,0.92,1.0,1.0,0.83
all,0.73,0.78,0.76,0.82,0.76,0.72,0.83,0.85,0.81,0.84,0.65,0.64,0.64,0.66,0.63,0.63,0.62,0.63,0.67,0.67
