,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.91,0.93,0.95,0.95,0.96,0.96,0.94,0.95,0.93,0.94,0.97,0.93,0.93,0.96,0.94,0.94,0.96,0.96,0.94,0.94
DataType.NOVEL,0.17,0.18,0.2,0.23,0.15,0.2,0.19,0.26,0.25,0.29,0.33,0.31,0.26,0.16,0.18,0.22,0.24,0.16,0.11,0.2
DataType.OUTLIER,0.93,0.9,0.9,0.91,0.92,0.91,0.87,0.89,0.85,0.88,0.85,0.82,0.84,0.86,0.85,0.87,0.88,0.83,0.87,0.85
all,0.75,0.78,0.75,0.8,0.76,0.77,0.75,0.76,0.74,0.76,0.77,0.73,0.74,0.73,0.73,0.75,0.76,0.71,0.73,0.72
