,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.96,0.89,0.94,0.96,0.95,0.96,0.94,0.94,0.95,0.94,0.95,0.95,0.94,0.92,0.94,0.95,0.95,0.94,0.92,0.97
DataType.NOVEL,0.21,0.17,0.22,0.2,0.15,0.18,0.17,0.18,0.17,0.22,0.19,0.25,0.27,0.24,0.25,0.24,0.26,0.25,0.27,0.25
DataType.OUTLIER,0.92,0.89,0.95,0.91,0.93,0.94,0.92,0.86,0.88,0.79,0.82,0.82,0.79,0.75,0.81,0.8,0.84,0.76,0.81,0.76
all,0.68,0.6,0.69,0.64,0.65,0.68,0.66,0.62,0.65,0.62,0.62,0.66,0.64,0.63,0.64,0.66,0.67,0.63,0.65,0.67
