,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.94,0.95,0.97,0.95,0.96,0.95,0.94,0.94,0.94,0.96,0.94,0.95,0.94,0.95,0.93,0.94,0.94,0.94,0.94,0.96
DataType.NOVEL,0.17,0.17,0.2,0.16,0.19,0.14,0.09,0.05,0.06,0.08,0.08,0.06,0.09,0.05,0.03,0.07,0.07,0.06,0.05,0.03
DataType.OUTLIER,0.89,0.88,0.9,0.91,0.89,0.89,0.87,0.86,0.86,0.88,0.87,0.88,0.86,0.89,0.88,0.89,0.86,0.88,0.87,0.88
all,0.73,0.76,0.76,0.76,0.75,0.75,0.72,0.71,0.73,0.7,0.72,0.7,0.72,0.71,0.7,0.73,0.7,0.71,0.71,0.68
