,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.15,0.13,0.15,0.19,0.15,0.19,0.19,0.17,0.16,0.12,0.07,0.06,0.12,0.09,0.08,0.06,0.12,0.08,0.08,0.09
DataType.NOVEL,0.29,0.34,0.36,0.39,0.35,0.57,0.55,0.57,0.58,0.77,0.71,0.77,0.67,0.75,0.81,0.74,0.71,0.77,0.72,0.77
DataType.OUTLIER,0.83,0.77,0.77,0.8,0.84,0.79,0.79,0.84,0.79,0.65,0.67,0.65,0.67,0.58,0.63,0.53,0.68,0.63,0.61,0.69
all,0.43,0.4,0.44,0.46,0.43,0.52,0.51,0.55,0.53,0.51,0.48,0.51,0.49,0.49,0.52,0.47,0.52,0.49,0.46,0.53
