,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.1,0.06,0.08,0.1,0.09,0.09,0.1,0.07,0.07,0.06,0.13,0.18,0.16,0.14,0.19,0.1,0.14,0.15,0.12,0.17
DataType.NOVEL,0.21,0.21,0.21,0.2,0.25,0.19,0.2,0.17,0.24,0.2,0.5,0.5,0.56,0.47,0.47,0.4,0.41,0.39,0.48,0.38
DataType.OUTLIER,0.98,0.94,0.96,0.96,0.97,0.96,0.98,0.97,0.97,0.98,0.78,0.76,0.81,0.76,0.77,0.8,0.77,0.78,0.79,0.78
all,0.43,0.4,0.43,0.42,0.41,0.41,0.41,0.44,0.44,0.41,0.48,0.48,0.49,0.47,0.48,0.44,0.44,0.43,0.44,0.44
