,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.93,0.93,0.95,0.95,0.94,0.94,0.94,0.95,0.96,0.96,0.95,0.94,0.94,0.92,0.96,0.95,0.95,0.94,0.95,0.95
DataType.NOVEL,0.56,0.62,0.61,0.55,0.54,0.61,0.57,0.57,0.52,0.53,0.53,0.58,0.54,0.55,0.52,0.52,0.69,0.61,0.59,0.6
DataType.OUTLIER,0.42,0.4,0.43,0.44,0.41,0.41,0.45,0.42,0.46,0.41,0.42,0.43,0.44,0.42,0.43,0.41,0.4,0.41,0.41,0.44
all,0.64,0.65,0.67,0.64,0.63,0.65,0.66,0.64,0.64,0.64,0.64,0.65,0.65,0.63,0.63,0.63,0.68,0.66,0.66,0.67
