,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.93,0.93,0.94,0.93,0.94,0.95,0.96,0.94,0.96,0.96,0.96,0.93,0.93,0.93,0.96,0.94,0.97,0.92,0.95,0.97
DataType.NOVEL,0.46,0.44,0.46,0.5,0.46,0.47,0.42,0.42,0.46,0.43,0.45,0.47,0.48,0.45,0.47,0.45,0.42,0.43,0.41,0.48
DataType.OUTLIER,0.68,0.63,0.65,0.66,0.68,0.66,0.66,0.68,0.68,0.66,0.66,0.64,0.66,0.65,0.64,0.68,0.65,0.68,0.63,0.69
all,0.69,0.67,0.68,0.71,0.7,0.69,0.68,0.69,0.71,0.68,0.69,0.68,0.69,0.69,0.68,0.69,0.68,0.67,0.67,0.71
