,2,1,0
DataType.NORMAL,0.1266,0.3204,0.9425
DataType.NOVEL,0.1612,0.3761,0.0401
DataType.OUTLIER,0.7122,0.3035,0.0174
total,5000.0,5163.0,4837.0
