,2,1,0
DataType.NORMAL,0.0736,0.0941,0.1038
DataType.NOVEL,0.1948,0.2541,0.2895
DataType.OUTLIER,0.7316,0.6518,0.6066
total,5000.0,4954.0,5046.0
