,2,1,0
DataType.NORMAL,0.0648,0.1482,0.1216
DataType.NOVEL,0.2238,0.6113,0.6159
DataType.OUTLIER,0.7114,0.2406,0.2626
total,5000.0,5163.0,4837.0
