,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.95,0.91,0.93,0.94,0.96,0.94,0.95,0.93,0.96,0.94,0.94,0.93,0.94,0.92,0.95,0.95,0.97,0.94,0.95,0.95
DataType.NOVEL,0.46,0.45,0.48,0.49,0.5,0.46,0.51,0.49,0.56,0.49,0.44,0.47,0.47,0.5,0.46,0.48,0.48,0.53,0.47,0.5
DataType.OUTLIER,0.47,0.39,0.48,0.48,0.45,0.41,0.42,0.43,0.41,0.41,0.43,0.46,0.47,0.43,0.41,0.47,0.4,0.45,0.42,0.43
all,0.61,0.6,0.62,0.63,0.64,0.6,0.62,0.6,0.63,0.62,0.61,0.61,0.63,0.6,0.6,0.62,0.6,0.65,0.63,0.62
