,2,1,0
DataType.NORMAL,0.0616,0.3696,0.9451
DataType.NOVEL,0.0702,0.2449,0.0281
DataType.OUTLIER,0.8682,0.3855,0.0268
total,5000.0,4954.0,5046.0
