,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.95,0.91,0.93,0.94,0.96,0.94,0.95,0.93,0.96,0.94,0.94,0.93,0.94,0.92,0.95,0.95,0.97,0.94,0.95,0.95
DataType.NOVEL,0.26,0.27,0.25,0.24,0.27,0.37,0.42,0.4,0.45,0.42,0.39,0.43,0.41,0.42,0.43,0.4,0.39,0.49,0.36,0.46
DataType.OUTLIER,0.77,0.67,0.73,0.73,0.69,0.79,0.77,0.81,0.74,0.68,0.67,0.7,0.73,0.63,0.65,0.68,0.7,0.72,0.7,0.69
all,0.63,0.63,0.62,0.63,0.64,0.69,0.7,0.72,0.71,0.68,0.67,0.68,0.68,0.64,0.67,0.66,0.67,0.72,0.67,0.69
