,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.24,0.19,0.19,0.21,0.19,0.27,0.28,0.33,0.26,0.29,0.21,0.28,0.28,0.25,0.28,0.21,0.24,0.27,0.27,0.3
DataType.NOVEL,0.18,0.22,0.2,0.19,0.16,0.52,0.51,0.46,0.45,0.41,0.42,0.37,0.26,0.21,0.28,0.23,0.31,0.24,0.22,0.3
DataType.OUTLIER,0.83,0.85,0.85,0.9,0.89,0.48,0.53,0.56,0.59,0.55,0.63,0.58,0.72,0.67,0.7,0.69,0.61,0.6,0.59,0.59
all,0.42,0.42,0.42,0.44,0.39,0.42,0.44,0.45,0.44,0.41,0.41,0.41,0.41,0.39,0.42,0.38,0.39,0.36,0.34,0.39
