,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.93,0.93,0.95,0.95,0.94,0.94,0.94,0.95,0.96,0.96,0.95,0.94,0.94,0.92,0.96,0.95,0.95,0.95,0.95,0.95
DataType.NOVEL,0.25,0.3,0.31,0.24,0.24,0.36,0.35,0.34,0.29,0.29,0.3,0.3,0.28,0.32,0.28,0.28,0.4,0.3,0.3,0.33
DataType.OUTLIER,0.88,0.86,0.86,0.9,0.91,0.62,0.68,0.66,0.71,0.66,0.72,0.7,0.79,0.74,0.75,0.79,0.71,0.7,0.67,0.71
all,0.7,0.69,0.73,0.7,0.68,0.64,0.66,0.66,0.66,0.64,0.66,0.66,0.67,0.67,0.67,0.68,0.7,0.64,0.64,0.67
