,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.95,0.94,0.94,0.92,0.94,0.95,0.97,0.97,0.96,0.96,0.95,0.95,0.92,0.92,0.94,0.95,0.97,0.94,0.95,0.95
DataType.NOVEL,0.41,0.45,0.43,0.49,0.4,0.4,0.45,0.39,0.4,0.36,0.39,0.39,0.43,0.42,0.41,0.39,0.41,0.45,0.43,0.36
DataType.OUTLIER,0.68,0.65,0.71,0.66,0.66,0.7,0.72,0.68,0.66,0.65,0.63,0.67,0.62,0.62,0.66,0.68,0.58,0.63,0.64,0.64
all,0.66,0.67,0.69,0.69,0.66,0.68,0.72,0.67,0.67,0.66,0.66,0.68,0.65,0.65,0.68,0.67,0.64,0.68,0.67,0.65
