,2,1,0
DataType.NORMAL,0.2004,0.4096,0.9619
DataType.NOVEL,0.3938,0.4411,0.0328
DataType.OUTLIER,0.4058,0.1492,0.0052
total,5000.0,4851.0,5149.0
