,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.93,0.87,0.91,0.92,0.87,0.91,0.91,0.92,0.91,0.9,0.89,0.9,0.9,0.9,0.9,0.89,0.92,0.92,0.93,0.96
DataType.NOVEL,0.23,0.23,0.27,0.3,0.25,0.26,0.43,0.46,0.47,0.45,0.39,0.47,0.44,0.37,0.4,0.43,0.43,0.47,0.4,0.47
DataType.OUTLIER,0.73,0.77,0.78,0.77,0.82,0.7,0.72,0.65,0.74,0.7,0.74,0.69,0.68,0.67,0.69,0.74,0.68,0.71,0.69,0.69
all,0.61,0.62,0.63,0.64,0.61,0.6,0.68,0.68,0.7,0.68,0.65,0.69,0.67,0.63,0.64,0.67,0.66,0.69,0.64,0.69
