,2,1,0
DataType.NORMAL,0.1214,0.3204,0.9425
DataType.NOVEL,0.1485,0.3604,0.0387
DataType.OUTLIER,0.7301,0.3192,0.0188
total,10000.0,5163.0,4837.0
