,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.95,0.93,0.93,0.95,0.95,0.95,0.97,0.94,0.94,0.93,0.95,0.93,0.94,0.96,0.95,0.93,0.94,0.95,0.95,0.95
DataType.NOVEL,0.22,0.24,0.24,0.2,0.19,0.22,0.22,0.19,0.24,0.3,0.31,0.33,0.27,0.3,0.26,0.27,0.31,0.29,0.29,0.28
DataType.OUTLIER,0.86,1.0,0.89,1.0,1.0,0.67,0.8,0.88,0.91,0.88,1.0,0.88,1.0,0.75,0.8,1.0,1.0,0.75,1.0,0.8
all,0.59,0.6,0.59,0.55,0.57,0.56,0.61,0.59,0.62,0.62,0.63,0.67,0.62,0.66,0.63,0.6,0.65,0.62,0.62,0.63
