,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.94,0.96,0.95,0.97,0.94,0.95,0.97,0.96,0.93,0.96,0.93,0.96,0.92,0.95,0.95,0.95,0.92,0.96,0.95,0.89
DataType.NOVEL,0.36,0.34,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataType.OUTLIER,0.77,0.75,0.78,0.94,0.93,0.93,0.94,0.95,0.92,0.93,0.96,0.93,0.94,0.94,0.93,0.93,0.93,0.94,0.95,0.93
all,0.7,0.7,0.72,0.72,0.68,0.72,0.71,0.71,0.68,0.71,0.72,0.71,0.71,0.72,0.71,0.71,0.71,0.7,0.71,0.69
