,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.97,0.92,0.95,0.92,0.93,0.96,0.93,0.95,0.95,0.93,0.94,0.95,0.93,0.94,0.95,0.97,0.95,0.97,0.96,0.94
DataType.NOVEL,0.23,0.2,0.23,0.25,0.17,0.23,0.27,0.22,0.25,0.22,0.24,0.22,0.28,0.28,0.25,0.31,0.21,0.31,0.24,0.26
DataType.OUTLIER,0.86,0.9,0.91,0.88,0.89,0.87,0.93,0.88,0.88,0.89,0.91,0.89,0.86,0.89,0.84,0.91,0.85,0.87,0.92,0.82
all,0.64,0.62,0.68,0.66,0.64,0.68,0.67,0.66,0.68,0.66,0.67,0.66,0.67,0.67,0.67,0.71,0.62,0.68,0.66,0.67
