,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.97,0.96,0.98,0.96,0.96,0.97,0.98,0.98,0.95,0.99,0.98,0.99,0.95,0.96,0.94,0.98,0.97,0.99,0.99,0.95
DataType.NOVEL,0.21,0.17,0.19,0.15,0.21,0.17,0.18,0.18,0.31,0.3,0.27,0.32,0.33,0.33,0.3,0.28,0.31,0.28,0.24,0.34
DataType.OUTLIER,0.57,0.64,0.67,0.25,0.36,0.67,1.0,0.62,0.82,0.65,0.82,0.5,0.67,0.5,0.8,0.64,0.38,0.62,0.5,0.6
all,0.43,0.44,0.4,0.4,0.41,0.42,0.45,0.42,0.51,0.51,0.51,0.51,0.5,0.5,0.47,0.5,0.51,0.52,0.48,0.51
