,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.98,0.96,0.98,0.97,0.95,0.94,0.96,0.98,0.97,0.98,0.97,0.98,0.95,0.93,0.96,0.99,0.95,0.95,0.94,0.97
DataType.NOVEL,0.21,0.17,0.15,0.19,0.19,0.18,0.17,0.17,0.2,0.17,0.17,0.27,0.31,0.28,0.3,0.29,0.28,0.26,0.24,0.27
DataType.OUTLIER,0.79,0.82,0.77,0.81,0.82,0.74,0.77,0.72,0.78,0.79,0.77,0.67,0.61,0.62,0.67,0.72,0.61,0.75,0.73,0.65
all,0.63,0.65,0.61,0.62,0.62,0.6,0.62,0.63,0.66,0.62,0.63,0.65,0.62,0.63,0.65,0.65,0.64,0.65,0.64,0.63
