,2,1,0
DataType.NORMAL,0.2002,0.4108,0.9619
DataType.NOVEL,0.0099,0.0893,0.0068
DataType.OUTLIER,0.7898,0.4999,0.0313
total,13000.0,4851.0,5149.0
