,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.94,0.93,0.94,0.93,0.94,0.94,0.95,0.93,0.91,0.94,0.94,0.96,0.95,0.95,0.96,0.92,0.93,0.91,0.93,0.94
DataType.NOVEL,0.24,0.22,0.23,0.26,0.2,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataType.OUTLIER,0.82,0.79,0.78,0.81,0.78,0.77,0.81,0.85,0.83,0.83,0.82,0.83,0.84,0.83,0.82,0.81,0.84,0.83,0.81,0.84
all,0.69,0.71,0.69,0.71,0.68,0.66,0.69,0.66,0.64,0.67,0.66,0.67,0.66,0.66,0.66,0.64,0.68,0.65,0.65,0.67
