,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.33,0.32,0.32,0.39,0.36,0.27,0.38,0.34,0.31,0.34,0.34,0.31,0.36,0.36,0.31,0.29,0.37,0.32,0.36,0.32
DataType.NOVEL,0.4,0.43,0.44,0.4,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataType.OUTLIER,0.28,0.25,0.24,0.21,0.25,0.73,0.62,0.66,0.69,0.66,0.66,0.69,0.64,0.64,0.69,0.71,0.63,0.68,0.64,0.68
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
