,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
DataType.NORMAL,0.27,0.24,0.28,0.27,0.26,0.27,0.28,0.25,0.24,0.26,0.26,0.23,0.24,0.26,0.25,0.27,0.25,0.24,0.25,0.25
DataType.NOVEL,0.17,0.17,0.18,0.26,0.26,0.26,0.24,0.24,0.24,0.25,0.25,0.25,0.27,0.27,0.29,0.26,0.28,0.27,0.26,0.32
DataType.OUTLIER,0.56,0.59,0.54,0.47,0.48,0.47,0.48,0.51,0.52,0.49,0.49,0.52,0.48,0.47,0.46,0.46,0.46,0.5,0.48,0.43
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
